==============================================================================
==============================================================================
 Aug. 22 2020                  LANDSAT 5                       Time: 12:50
                            Image Assessment System
                            GEOMETRIC VERIFY Report
==============================================================================
Order ID: L2                          Path / Row - 227 / 65
Reference Image: terrain_HDF.l1g

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 -- 100.0%
Rank   2 --  0.0%
Rank   3 --  0.0%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
2270650965   -6.61758    -54.53446     0.02     -0.04     0.04     1 
2270650966   -6.61744    -54.50599     0.07     -0.05     0.08     1 
2270650967   -6.61729    -54.47752     0.09     -0.02     0.09     1 
2270650968   -6.61715    -54.44905    -0.00     -0.03     0.03     1 
2270650971   -6.61670    -54.36365     0.02      0.01     0.02     1 
2270650972   -6.61655    -54.33518     0.03     -0.04     0.05     1 
2270651028   -6.64410    -54.87604     0.02      0.01     0.02     1 
2270651029   -6.64398    -54.84756     0.02     -0.02     0.03     1 
2270651032   -6.64360    -54.76212     0.06      0.03     0.07     1 
2270651033   -6.64347    -54.73365     0.05      0.06     0.08     1 
2270651035   -6.64321    -54.67670     0.05      0.02     0.06     1 
2270651037   -6.64294    -54.61975     0.05     -0.02     0.05     1 
2270651038   -6.64280    -54.59128     0.09     -0.01     0.09     1 
2270651039   -6.64266    -54.56280     0.07      0.02     0.07     1 
2270651040   -6.64252    -54.53433     0.09      0.05     0.10     1 
2270651042   -6.64223    -54.47739     0.08      0.02     0.08     1 
2270651043   -6.64209    -54.44892     0.09      0.01     0.09     1 
2270651044   -6.64194    -54.42045     0.05     -0.01     0.05     1 
2270651045   -6.64179    -54.39198     0.02      0.00     0.02     1 
2270651047   -6.64149    -54.33505    -0.03      0.01     0.03     1 
2270651066   -6.67247    -55.93000     0.05     -0.05     0.07     1 
2270651067   -6.67241    -55.90150    -0.03     -0.06     0.06     1 
2270651102   -6.66918    -54.90441     0.00     -0.04     0.04     1 
2270651103   -6.66906    -54.87593    -0.02     -0.04     0.05     1 
2270651104   -6.66893    -54.84745     0.05      0.04     0.07     1 
2270651105   -6.66881    -54.81897     0.03     -0.01     0.03     1 
2270651111   -6.66802    -54.64811     0.08      0.01     0.08     1 
2270651112   -6.66789    -54.61963     0.06     -0.02     0.06     1 
2270651113   -6.66775    -54.59116     0.03     -0.00     0.03     1 
2270651114   -6.66761    -54.56268     0.07      0.01     0.07     1 
2270651116   -6.66732    -54.50574     0.12      0.05     0.13     1 
2270651117   -6.66718    -54.47726     0.06      0.03     0.07     1 
2270651118   -6.66703    -54.44879     0.01     -0.01     0.01     1 
2270651119   -6.66688    -54.42032     0.08     -0.02     0.08     1 
2270651120   -6.66673    -54.39185     0.02     -0.04     0.04     1 
2270651121   -6.66658    -54.36338     0.00      0.01     0.01     1 
2270651137   -6.69767    -56.04393     0.07     -0.02     0.07     1 
2270651141   -6.69743    -55.92994     0.02      0.00     0.02     1 
2270651179   -6.69388    -54.84734    -0.16     -0.08     0.18     1 
2270651180   -6.69376    -54.81886     0.02      0.01     0.02     1 
2270651182   -6.69350    -54.76190    -0.06      0.04     0.07     1 
2270651186   -6.69297    -54.64799     0.15      0.02     0.16     1 
2270651187   -6.69283    -54.61951     0.04      0.02     0.04     1 
2270651188   -6.69269    -54.59103     0.03      0.01     0.03     1 
2270651189   -6.69255    -54.56256     0.01     -0.01     0.01     1 
2270651190   -6.69241    -54.53408     0.04      0.06     0.07     1 
2270651195   -6.69167    -54.39172     0.03     -0.03     0.04     1 
2270651196   -6.69152    -54.36325     0.01     -0.04     0.05     1 
2270651229   -6.72144    -55.55944    -0.01     -0.02     0.03     1 
2270651247   -6.71967    -55.04662     0.09     -0.07     0.12     1 
2270651249   -6.71944    -54.98965     0.02      0.02     0.03     1 
2270651254   -6.71883    -54.84723     0.02     -0.05     0.06     1 
2270651255   -6.71870    -54.81875    -0.03     -0.00     0.03     1 
2270651262   -6.71778    -54.61939    -0.00      0.01     0.01     1 
2270651263   -6.71764    -54.59091    -0.00     -0.02     0.02     1 
2270651264   -6.71750    -54.56243    -0.03     -0.01     0.03     1 
2270651265   -6.71735    -54.53396    -0.01      0.00     0.01     1 
2270651267   -6.71706    -54.47701     0.05      0.04     0.07     1 
2270651269   -6.71677    -54.42006     0.04     -0.03     0.05     1 
2270651270   -6.71662    -54.39158     0.03      0.01     0.03     1 
2270651271   -6.71646    -54.36311    -0.01     -0.03     0.04     1 
2270651324   -6.74439    -54.98955    -0.02      0.01     0.02     1 
2270651329   -6.74378    -54.84712     0.00      0.01     0.01     1 
2270651330   -6.74365    -54.81864    -0.02     -0.01     0.02     1 
2270651331   -6.74352    -54.79015     0.03     -0.03     0.05     1 
2270651332   -6.74340    -54.76167     0.02      0.02     0.02     1 
2270651335   -6.74300    -54.67623     0.01      0.04     0.04     1 
2270651336   -6.74286    -54.64775    -0.13     -0.02     0.13     1 
2270651338   -6.74258    -54.59079    -0.01     -0.00     0.01     1 
2270651339   -6.74244    -54.56231    -0.02     -0.01     0.03     1 
2270651340   -6.74230    -54.53383    -0.04     -0.01     0.04     1 
2270651341   -6.74215    -54.50535    -0.01     -0.00     0.01     1 
2270651342   -6.74201    -54.47688     0.01      0.02     0.03     1 
2270651343   -6.74186    -54.44840    -0.01     -0.01     0.01     1 
2270651344   -6.74171    -54.41993     0.00     -0.01     0.01     1 
2270651345   -6.74156    -54.39145    -0.01     -0.03     0.03     1 
2270651346   -6.74140    -54.36298    -0.03     -0.06     0.07     1 
2270651402   -6.76898    -54.90398    -0.03     -0.06     0.07     1 
2270651403   -6.76886    -54.87550     0.03     -0.10     0.11     1 
2270651406   -6.76847    -54.79004     0.00     -0.01     0.01     1 
2270651410   -6.76794    -54.67611    -0.06      0.01     0.06     1 
2270651412   -6.76767    -54.61914    -0.03     -0.05     0.06     1 
2270651413   -6.76753    -54.59066    -0.01     -0.01     0.02     1 
2270651414   -6.76738    -54.56218    -0.03      0.04     0.05     1 
