==============================================================================
==============================================================================
 Aug. 22 2020                  LANDSAT 5                       Time: 12:50
                            Image Assessment System
                            GEOMETRIC VERIFY Report
==============================================================================
Order ID: L2                          Path / Row - 227 / 65
Reference Image: terrain_HDF.l1g

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 -- 100.0%
Rank   2 --  0.0%
Rank   3 --  0.0%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
2270651961   -6.97232    -56.07190    -0.01     -0.05     0.05     1 
2270651965   -6.97208    -55.95785     0.12     -0.04     0.12     1 
2270651969   -6.97182    -55.84380     0.03     -0.11     0.11     1 
2270651970   -6.97175    -55.81529     0.03     -0.16     0.17     1 
2270651971   -6.97168    -55.78677     0.03     -0.07     0.08     1 
2270651972   -6.97160    -55.75826    -0.00     -0.13     0.13     1 
2270651975   -6.97137    -55.67273     0.01     -0.02     0.02     1 
2270651976   -6.97129    -55.64422     0.03     -0.01     0.03     1 
2270651977   -6.97121    -55.61571    -0.06     -0.09     0.10     1 
2270651980   -6.97095    -55.53019    -0.10      0.01     0.10     1 
2270651981   -6.97086    -55.50168     0.06     -0.12     0.13     1 
2270651983   -6.97067    -55.44466    -0.17      0.02     0.17     1 
2270651986   -6.97038    -55.35914     0.15      0.08     0.17     1 
2270651993   -6.96965    -55.15961     0.02      0.03     0.03     1 
2270651998   -6.96907    -55.01710     0.09     -0.03     0.10     1 
2270651999   -6.96895    -54.98860    -0.04      0.18     0.19     1 
2270652000   -6.96883    -54.96010     0.08      0.00     0.08     1 
2270652001   -6.96871    -54.93160     0.03      0.01     0.03     1 
2270652002   -6.96858    -54.90311     0.01     -0.04     0.04     1 
2270652004   -6.96832    -54.84611    -0.07     -0.02     0.07     1 
2270652005   -6.96819    -54.81761     0.01     -0.02     0.02     1 
2270652006   -6.96806    -54.78912    -0.01     -0.06     0.06     1 
2270652007   -6.96793    -54.76062     0.01     -0.02     0.03     1 
2270652008   -6.96779    -54.73213    -0.01     -0.01     0.01     1 
2270652009   -6.96765    -54.70363     0.02      0.01     0.02     1 
2270652010   -6.96751    -54.67514    -0.06      0.01     0.06     1 
2270652013   -6.96708    -54.58966    -0.03     -0.01     0.03     1 
2270652014   -6.96694    -54.56117     0.09     -0.08     0.13     1 
2270652015   -6.96679    -54.53268     0.02     -0.04     0.05     1 
2270652016   -6.96664    -54.50419    -0.01     -0.03     0.03     1 
2270652017   -6.96649    -54.47570    -0.05     -0.01     0.06     1 
2270652018   -6.96634    -54.44721     0.02      0.06     0.06     1 
2270652019   -6.96618    -54.41872    -0.07     -0.02     0.08     1 
2270652040   -6.99705    -55.95779     0.06     -0.03     0.07     1 
2270652042   -6.99692    -55.90076     0.02     -0.07     0.08     1 
2270652046   -6.99664    -55.78671     0.03     -0.02     0.04     1 
2270652047   -6.99656    -55.75820    -0.02     -0.02     0.03     1 
2270652051   -6.99625    -55.64415     0.02     -0.10     0.11     1 
2270652053   -6.99608    -55.58713    -0.06     -0.04     0.07     1 
2270652054   -6.99599    -55.55862    -0.06      0.06     0.09     1 
2270652062   -6.99524    -55.33055     0.10      0.17     0.19     1 
2270652063   -6.99514    -55.30204     0.04      0.13     0.14     1 
2270652064   -6.99503    -55.27354     0.18     -0.01     0.18     1 
2270652073   -6.99402    -55.01700     0.11     -0.05     0.12     1 
2270652074   -6.99390    -54.98850     0.02      0.03     0.04     1 
2270652075   -6.99378    -54.96000     0.06      0.00     0.06     1 
2270652076   -6.99366    -54.93150    -0.03     -0.04     0.05     1 
2270652077   -6.99353    -54.90300     0.04     -0.01     0.04     1 
2270652078   -6.99340    -54.87450     0.07     -0.01     0.07     1 
2270652079   -6.99327    -54.84600     0.02     -0.01     0.02     1 
2270652080   -6.99314    -54.81750     0.01      0.02     0.02     1 
2270652081   -6.99301    -54.78900    -0.01     -0.07     0.07     1 
2270652082   -6.99287    -54.76050     0.05     -0.02     0.06     1 
2270652083   -6.99274    -54.73201     0.05     -0.02     0.05     1 
2270652084   -6.99260    -54.70351    -0.03     -0.02     0.04     1 
2270652085   -6.99246    -54.67502     0.01     -0.00     0.01     1 
2270652086   -6.99232    -54.64652    -0.03      0.02     0.04     1 
2270652087   -6.99217    -54.61803     0.03     -0.05     0.06     1 
2270652089   -6.99188    -54.56104     0.06     -0.05     0.08     1 
2270652090   -6.99173    -54.53255     0.02     -0.04     0.05     1 
2270652091   -6.99158    -54.50405     0.05      0.02     0.05     1 
2270652092   -6.99143    -54.47556    -0.01      0.01     0.01     1 
2270652093   -6.99128    -54.44707    -0.01     -0.00     0.01     1 
2270652094   -6.99112    -54.41858    -0.00     -0.01     0.02     1 
2270652109   -7.02236    -56.12884     0.05     -0.07     0.08     1 
2270652113   -7.02213    -56.01477     0.09     -0.08     0.12     1 
2270652114   -7.02207    -55.98625     0.05     -0.03     0.06     1 
2270652115   -7.02201    -55.95773     0.07     -0.05     0.08     1 
2270652117   -7.02188    -55.90070     0.05     -0.07     0.09     1 
2270652123   -7.02145    -55.72962     0.07     -0.03     0.08     1 
2270652127   -7.02112    -55.61556    -0.05      0.17     0.18     1 
2270652128   -7.02104    -55.58705     0.08     -0.00     0.08     1 
2270652131   -7.02077    -55.50152    -0.00     -0.05     0.05     1 
2270652133   -7.02059    -55.44450     0.01     -0.15     0.15     1 
2270652136   -7.02030    -55.35897    -0.09     -0.05     0.11     1 
2270652147   -7.01910    -55.04540     0.04     -0.02     0.04     1 
2270652149   -7.01885    -54.98839     0.05     -0.08     0.09     1 
2270652151   -7.01861    -54.93139    -0.03     -0.05     0.06     1 
2270652152   -7.01848    -54.90288     0.01     -0.02     0.03     1 
2270652153   -7.01835    -54.87438     0.03     -0.02     0.04     1 
2270652155   -7.01809    -54.81738     0.03      0.03     0.04     1 
2270652156   -7.01796    -54.78888     0.05     -0.00     0.05     1 
2270652157   -7.01782    -54.76038     0.08     -0.03     0.08     1 
2270652158   -7.01768    -54.73189     0.04     -0.05     0.06     1 
2270652159   -7.01755    -54.70339     0.02      0.03     0.03     1 
2270652160   -7.01741    -54.67489     0.06      0.00     0.06     1 
2270652161   -7.01726    -54.64639    -0.00      0.01     0.01     1 
2270652162   -7.01712    -54.61790     0.04     -0.02     0.04     1 
2270652163   -7.01697    -54.58940    -0.02     -0.02     0.03     1 
2270652164   -7.01683    -54.56091    -0.03     -0.10     0.10     1 
2270652165   -7.01668    -54.53241    -0.01     -0.04     0.04     1 
2270652166   -7.01653    -54.50392     0.03     -0.05     0.06     1 
2270652167   -7.01638    -54.47543     0.01     -0.05     0.06     1 
2270652168   -7.01622    -54.44694    -0.03     -0.07     0.07     1 
2270652169   -7.01606    -54.41844    -0.02     -0.05     0.05     1 
2270652184   -7.04732    -56.12879     0.08     -0.02     0.08     1 
2270652185   -7.04727    -56.10027     0.05     -0.07     0.09     1 
2270652186   -7.04721    -56.07175     0.01     -0.01     0.01     1 
2270652188   -7.04710    -56.01472     0.08     -0.08     0.11     1 
2270652189   -7.04704    -55.98620     0.03     -0.05     0.06     1 
2270652190   -7.04697    -55.95768     0.07     -0.07     0.09     1 
2270652191   -7.04691    -55.92916     0.08     -0.06     0.10     1 
2270652192   -7.04684    -55.90064     0.09     -0.07     0.11     1 
2270652193   -7.04677    -55.87213     0.05     -0.05     0.07     1 
2270652198   -7.04641    -55.72955     0.10     -0.09     0.14     1 
2270652199   -7.04633    -55.70103    -0.03     -0.13     0.13     1 
2270652200   -7.04625    -55.67252     0.02     -0.05     0.06     1 
2270652202   -7.04608    -55.61549     0.05     -0.02     0.06     1 
2270652204   -7.04591    -55.55846     0.18      0.00     0.18     1 
2270652213   -7.04505    -55.30186     0.08     -0.05     0.09     1 
2270652215   -7.04484    -55.24484     0.02      0.01     0.02     1 
2270652222   -7.04405    -55.04529     0.05     -0.05     0.07     1 
2270652223   -7.04393    -55.01679     0.10     -0.00     0.10     1 
2270652224   -7.04381    -54.98828    -0.01     -0.06     0.06     1 
2270652227   -7.04343    -54.90277     0.07     -0.00     0.07     1 
2270652228   -7.04330    -54.87427     0.01     -0.08     0.08     1 
2270652229   -7.04317    -54.84577    -0.04     -0.05     0.07     1 
2270652230   -7.04304    -54.81727     0.04     -0.01     0.04     1 
2270652231   -7.04291    -54.78876     0.01     -0.07     0.07     1 
2270652232   -7.04277    -54.76026     0.03     -0.08     0.08     1 
2270652233   -7.04263    -54.73177     0.04     -0.04     0.05     1 
2270652234   -7.04249    -54.70327    -0.04     -0.04     0.06     1 
2270652235   -7.04235    -54.67477     0.01      0.00     0.01     1 
2270652236   -7.04221    -54.64627    -0.02      0.02     0.03     1 
2270652237   -7.04207    -54.61777    -0.07     -0.00     0.07     1 
2270652239   -7.04177    -54.56078     0.04      0.04     0.06     1 
2270652240   -7.04162    -54.53228     0.05     -0.02     0.06     1 
2270652241   -7.04147    -54.50379     0.01     -0.00     0.01     1 
2270652242   -7.04132    -54.47529     0.04     -0.06     0.07     1 
2270652243   -7.04116    -54.44680     0.00      0.01     0.01     1 
2270652244   -7.04101    -54.41831    -0.02     -0.05     0.05     1 
2270652259   -7.07229    -56.12874     0.06      0.03     0.07     1 
2270652261   -7.07218    -56.07170     0.05     -0.10     0.11     1 
2270652262   -7.07212    -56.04318     0.03     -0.09     0.09     1 
2270652263   -7.07206    -56.01466     0.08     -0.07     0.11     1 
2270652265   -7.07193    -55.95762     0.10      0.01     0.10     1 
2270652266   -7.07187    -55.92910     0.04     -0.07     0.09     1 
2270652267   -7.07180    -55.90059     0.08     -0.02     0.08     1 
2270652268   -7.07174    -55.87207     0.11     -0.06     0.12     1 
2270652269   -7.07167    -55.84355     0.04     -0.05     0.06     1 
2270652272   -7.07145    -55.75800    -0.10     -0.00     0.10     1 
2270652273   -7.07137    -55.72948     0.05     -0.01     0.05     1 
2270652279   -7.07087    -55.55839    -0.00     -0.13     0.13     1 
2270652290   -7.06980    -55.24475     0.06      0.02     0.06     1 
2270652294   -7.06935    -55.13071    -0.04     -0.04     0.05     1 
2270652297   -7.06900    -55.04519     0.03     -0.06     0.07     1 
2270652298   -7.06888    -55.01668    -0.03     -0.09     0.10     1 
2270652299   -7.06876    -54.98817     0.07     -0.05     0.08     1 
2270652301   -7.06851    -54.93117     0.04     -0.01     0.04     1 
2270652302   -7.06838    -54.90266     0.01     -0.02     0.02     1 
2270652303   -7.06825    -54.87416     0.02      0.01     0.02     1 
2270652305   -7.06799    -54.81715     0.09      0.02     0.09     1 
2270652306   -7.06785    -54.78865     0.00     -0.00     0.00     1 
2270652307   -7.06772    -54.76015     0.06     -0.03     0.07     1 
2270652309   -7.06744    -54.70314     0.06     -0.02     0.06     1 
2270652310   -7.06730    -54.67464     0.01     -0.02     0.02     1 
2270652311   -7.06715    -54.64614    -0.06     -0.02     0.06     1 
2270652312   -7.06701    -54.61764    -0.04     -0.06     0.07     1 
2270652313   -7.06686    -54.58915     0.00     -0.02     0.02     1 
2270652314   -7.06672    -54.56065    -0.03     -0.02     0.03     1 
2270652316   -7.06641    -54.50365     0.01      0.01     0.02     1 
2270652317   -7.06626    -54.47516     0.04     -0.04     0.05     1 
2270652318   -7.06610    -54.44666    -0.02      0.01     0.02     1 
2270652337   -7.09708    -56.04313     0.14     -0.00     0.14     1 
2270652338   -7.09702    -56.01461     0.09     -0.05     0.10     1 
2270652340   -7.09690    -55.95757     0.07     -0.04     0.08     1 
2270652342   -7.09677    -55.90053     0.09     -0.09     0.13     1 
2270652345   -7.09656    -55.81497     0.05     -0.02     0.05     1 
2270652347   -7.09641    -55.75793     0.05     -0.04     0.07     1 
2270652348   -7.09633    -55.72941     0.10      0.02     0.11     1 
2270652349   -7.09625    -55.70089     0.06     -0.01     0.06     1 
2270652354   -7.09583    -55.55831     0.12      0.05     0.13     1 
2270652362   -7.09506    -55.33019     0.01     -0.10     0.10     1 
2270652369   -7.09430    -55.13061     0.06     -0.09     0.11     1 
2270652372   -7.09395    -55.04508     0.02     -0.07     0.07     1 
2270652374   -7.09371    -54.98807     0.04     -0.06     0.07     1 
2270652375   -7.09358    -54.95956     0.04     -0.06     0.07     1 
2270652376   -7.09346    -54.93105     0.02     -0.05     0.05     1 
2270652377   -7.09333    -54.90255     0.02     -0.04     0.04     1 
2270652378   -7.09320    -54.87404     0.06     -0.02     0.07     1 
2270652380   -7.09294    -54.81703     0.03     -0.03     0.04     1 
2270652381   -7.09280    -54.78853     0.02     -0.04     0.05     1 
2270652382   -7.09266    -54.76002     0.12     -0.06     0.13     1 
2270652383   -7.09253    -54.73152     0.08     -0.05     0.10     1 
2270652384   -7.09239    -54.70302     0.03     -0.04     0.05     1 
2270652385   -7.09224    -54.67452     0.04     -0.01     0.04     1 
2270652386   -7.09210    -54.64602     0.01     -0.00     0.01     1 
2270652387   -7.09195    -54.61752     0.03     -0.00     0.03     1 
2270652388   -7.09181    -54.58902     0.04     -0.03     0.05     1 
2270652389   -7.09166    -54.56052     0.01     -0.05     0.05     1 
2270652390   -7.09151    -54.53202    -0.04     -0.01     0.04     1 
2270652391   -7.09136    -54.50352     0.06      0.03     0.07     1 
2270652392   -7.09120    -54.47502    -0.02     -0.07     0.08     1 
2270652393   -7.09105    -54.44653    -0.15     -0.09     0.17     1 
2270652408   -7.12227    -56.15717     0.03     -0.07     0.07     1 
2270652413   -7.12198    -56.01456     0.09     -0.05     0.10     1 
2270652414   -7.12192    -55.98603     0.10     -0.06     0.12     1 
2270652415   -7.12186    -55.95751     0.10      0.01     0.10     1 
2270652416   -7.12179    -55.92899    -0.03      0.02     0.03     1 
2270652417   -7.12173    -55.90047     0.00     -0.09     0.09     1 
2270652420   -7.12152    -55.81490     0.12     -0.11     0.16     1 
2270652421   -7.12144    -55.78638    -0.05     -0.04     0.06     1 
2270652427   -7.12096    -55.61527    -0.04     -0.08     0.09     1 
2270652430   -7.12070    -55.52971     0.05     -0.01     0.05     1 
2270652432   -7.12051    -55.47268     0.11     -0.02     0.11     1 
2270652435   -7.12022    -55.38713    -0.06      0.07     0.09     1 
2270652440   -7.11970    -55.24456    -0.04     -0.02     0.04     1 
2270652444   -7.11926    -55.13051     0.08     -0.03     0.08     1 
2270652448   -7.11878    -55.01647     0.01     -0.06     0.06     1 
2270652449   -7.11866    -54.98796    -0.07      0.06     0.09     1 
2270652450   -7.11853    -54.95945     0.04     -0.06     0.08     1 
2270652451   -7.11841    -54.93094     0.01     -0.05     0.05     1 
2270652452   -7.11828    -54.90243    -0.00     -0.04     0.04     1 
2270652453   -7.11815    -54.87393     0.00     -0.07     0.07     1 
2270652454   -7.11802    -54.84542     0.05     -0.05     0.07     1 
2270652455   -7.11788    -54.81691    -0.02     -0.03     0.04     1 
2270652456   -7.11775    -54.78841    -0.01      0.04     0.04     1 
2270652460   -7.11719    -54.67439    -0.02     -0.04     0.04     1 
2270652461   -7.11705    -54.64589     0.05     -0.04     0.07     1 
2270652462   -7.11690    -54.61739    -0.00     -0.05     0.05     1 
2270652463   -7.11675    -54.58889     0.03     -0.04     0.05     1 
2270652464   -7.11660    -54.56038    -0.02     -0.07     0.08     1 
2270652465   -7.11645    -54.53189     0.01     -0.04     0.04     1 
2270652467   -7.11614    -54.47489     0.02      0.00     0.02     1 
2270652468   -7.11599    -54.44639    -0.08     -0.03     0.09     1 
2270652488   -7.14695    -56.01450     0.11     -0.10     0.15     1 
2270652489   -7.14689    -55.98598     0.09     -0.16     0.18     1 
2270652490   -7.14682    -55.95746     0.05     -0.15     0.16     1 
2270652492   -7.14669    -55.90041     0.04     -0.03     0.06     1 
2270652493   -7.14662    -55.87188     0.06     -0.05     0.08     1 
2270652502   -7.14592    -55.61519     0.04      0.02     0.05     1 
2270652504   -7.14575    -55.55815     0.01     -0.03     0.03     1 
2270652515   -7.14466    -55.24446    -0.07     -0.07     0.10     1 
2270652522   -7.14386    -55.04487     0.02     -0.04     0.05     1 
2270652523   -7.14373    -55.01636     0.01     -0.04     0.04     1 
2270652524   -7.14361    -54.98785    -0.02      0.09     0.10     1 
2270652525   -7.14349    -54.95934     0.01     -0.09     0.09     1 
2270652526   -7.14336    -54.93083     0.03     -0.03     0.04     1 
2270652527   -7.14323    -54.90232     0.00     -0.03     0.03     1 
2270652528   -7.14310    -54.87381     0.01     -0.01     0.02     1 
2270652529   -7.14297    -54.84530     0.08     -0.01     0.08     1 
2270652532   -7.14256    -54.75978     0.05     -0.01     0.06     1 
2270652534   -7.14228    -54.70277     0.03     -0.08     0.08     1 
2270652535   -7.14214    -54.67427    -0.02     -0.19     0.19     1 
2270652536   -7.14199    -54.64576     0.02     -0.07     0.07     1 
2270652537   -7.14184    -54.61726     0.01     -0.08     0.08     1 
2270652538   -7.14170    -54.58875     0.07     -0.06     0.09     1 
2270652539   -7.14155    -54.56025     0.00     -0.05     0.05     1 
2270652540   -7.14140    -54.53175     0.01     -0.02     0.03     1 
2270652541   -7.14124    -54.50325    -0.03     -0.03     0.05     1 
2270652542   -7.14109    -54.47475     0.02     -0.09     0.10     1 
2270652543   -7.14093    -54.44625    -0.01     -0.04     0.04     1 
2270652561   -7.17203    -56.07150     0.11     -0.05     0.12     1 
2270652563   -7.17191    -56.01445     0.10     -0.14     0.17     1 
2270652564   -7.17185    -55.98592     0.08     -0.11     0.13     1 
2270652565   -7.17179    -55.95740     0.09     -0.09     0.13     1 
2270652566   -7.17172    -55.92887     0.09     -0.11     0.14     1 
2270652575   -7.17105    -55.67216     0.06     -0.04     0.07     1 
2270652576   -7.17097    -55.64364     0.05     -0.05     0.08     1 
2270652577   -7.17088    -55.61512     0.09      0.07     0.11     1 
2270652584   -7.17024    -55.41548    -0.03     -0.04     0.05     1 
2270652594   -7.16916    -55.13031    -0.18     -0.01     0.18     1 
2270652597   -7.16881    -55.04476     0.06     -0.04     0.07     1 
2270652598   -7.16869    -55.01625     0.02     -0.04     0.04     1 
2270652599   -7.16856    -54.98774     0.08     -0.06     0.10     1 
2270652600   -7.16844    -54.95923     0.04     -0.08     0.09     1 
2270652601   -7.16831    -54.93072     0.01     -0.05     0.06     1 
2270652602   -7.16818    -54.90221    -0.00     -0.02     0.02     1 
2270652603   -7.16805    -54.87370     0.03      0.00     0.03     1 
2270652604   -7.16792    -54.84519    -0.04     -0.04     0.06     1 
2270652605   -7.16778    -54.81668     0.07      0.01     0.07     1 
2270652606   -7.16765    -54.78817    -0.00     -0.04     0.04     1 
2270652608   -7.16737    -54.73115    -0.01     -0.07     0.07     1 
2270652609   -7.16723    -54.70265     0.09     -0.01     0.09     1 
2270652610   -7.16708    -54.67414     0.03     -0.05     0.06     1 
2270652611   -7.16694    -54.64563     0.03     -0.08     0.08     1 
2270652612   -7.16679    -54.61713    -0.01     -0.04     0.04     1 
2270652613   -7.16664    -54.58862    -0.00     -0.08     0.08     1 
2270652614   -7.16649    -54.56012     0.00     -0.06     0.06     1 
2270652615   -7.16634    -54.53162     0.03     -0.05     0.06     1 
2270652616   -7.16618    -54.50312     0.03     -0.02     0.04     1 
2270652617   -7.16603    -54.47461    -0.13     -0.07     0.15     1 
2270652618   -7.16587    -54.44611     0.00     -0.06     0.06     1 
2270652637   -7.19693    -56.04292     0.06     -0.04     0.07     1 
2270652638   -7.19687    -56.01440     0.11      0.09     0.14     1 
2270652649   -7.19609    -55.70061    -0.06     -0.03     0.07     1 
2270652650   -7.19601    -55.67209    -0.01     -0.04     0.04     1 
2270652658   -7.19529    -55.44391     0.06      0.07     0.09     1 
2270652666   -7.19446    -55.21576     0.10     -0.06     0.11     1 
2270652669   -7.19412    -55.13020    -0.05     -0.03     0.06     1 
2270652670   -7.19400    -55.10169     0.10      0.07     0.13     1 
2270652671   -7.19388    -55.07317     0.04     -0.00     0.04     1 
2270652674   -7.19351    -54.98763     0.05     -0.11     0.12     1 
2270652675   -7.19339    -54.95912     0.01      0.02     0.02     1 
2270652676   -7.19326    -54.93060     0.00     -0.04     0.04     1 
2270652677   -7.19313    -54.90209     0.05      0.03     0.06     1 
2270652678   -7.19300    -54.87358    -0.05     -0.04     0.06     1 
2270652679   -7.19287    -54.84507    -0.01     -0.04     0.04     1 
2270652680   -7.19273    -54.81656    -0.02     -0.05     0.05     1 
2270652681   -7.19259    -54.78805     0.03     -0.03     0.04     1 
2270652684   -7.19217    -54.70252     0.05     -0.06     0.08     1 
2270652685   -7.19203    -54.67401     0.02     -0.01     0.02     1 
2270652686   -7.19188    -54.64551     0.02     -0.08     0.09     1 
2270652687   -7.19173    -54.61700     0.02     -0.05     0.05     1 
2270652688   -7.19159    -54.58849    -0.01     -0.07     0.07     1 
2270652689   -7.19144    -54.55999     0.03     -0.04     0.05     1 
2270652690   -7.19128    -54.53148    -0.00     -0.08     0.08     1 
2270652691   -7.19113    -54.50298     0.03     -0.06     0.07     1 
2270652692   -7.19097    -54.47447    -0.09     -0.09     0.13     1 
2270652707   -7.22218    -56.18552     0.05      0.05     0.07     1 
2270652716   -7.22164    -55.92876     0.05     -0.05     0.07     1 
2270652718   -7.22151    -55.87170     0.06     -0.08     0.10     1 
2270652719   -7.22144    -55.84317    -0.02     -0.10     0.10     1 
2270652727   -7.22080    -55.61496     0.05     -0.01     0.05     1 
2270652733   -7.22025    -55.44382    -0.04     -0.11     0.12     1 
2270652743   -7.21919    -55.15862    -0.12      0.07     0.14     1 
2270652744   -7.21907    -55.13010     0.02     -0.03     0.04     1 
2270652745   -7.21895    -55.10159    -0.02      0.02     0.03     1 
2270652750   -7.21834    -54.95901     0.06     -0.04     0.08     1 
2270652752   -7.21808    -54.90198    -0.01     -0.05     0.05     1 
2270652753   -7.21795    -54.87346     0.03      0.00     0.03     1 
2270652754   -7.21781    -54.84495     0.05     -0.06     0.08     1 
2270652756   -7.21754    -54.78793     0.04     -0.01     0.04     1 
2270652757   -7.21740    -54.75942     0.00     -0.05     0.05     1 
2270652759   -7.21712    -54.70240    -0.00     -0.04     0.04     1 
2270652760   -7.21697    -54.67389     0.04     -0.05     0.06     1 
2270652761   -7.21683    -54.64538     0.03     -0.04     0.05     1 
2270652762   -7.21668    -54.61687     0.08     -0.06     0.10     1 
2270652763   -7.21653    -54.58836     0.01     -0.07     0.07     1 
2270652764   -7.21638    -54.55985     0.06     -0.05     0.08     1 
2270652765   -7.21622    -54.53135    -0.03     -0.01     0.03     1 
2270652766   -7.21607    -54.50284     0.06     -0.04     0.07     1 
2270652767   -7.21591    -54.47434    -0.08     -0.01     0.08     1 
2270652787   -7.24686    -56.04282     0.05      0.01     0.05     1 
2270652789   -7.24674    -55.98576     0.16     -0.02     0.16     1 
2270652792   -7.24654    -55.90017     0.05     -0.01     0.05     1 
2270652795   -7.24632    -55.81458     0.09     -0.11     0.15     1 
2270652800   -7.24593    -55.67194    -0.10      0.01     0.11     1 
2270652801   -7.24585    -55.64342     0.11     -0.06     0.13     1 
2270652803   -7.24567    -55.58636     0.01     -0.05     0.05     1 
2270652808   -7.24521    -55.44374    -0.02     -0.06     0.07     1 
2270652810   -7.24501    -55.38669     0.12     -0.15     0.19     1 
2270652817   -7.24425    -55.18704    -0.01     -0.03     0.03     1 
2270652818   -7.24414    -55.15852    -0.09     -0.00     0.09     1 
2270652819   -7.24402    -55.13000     0.05     -0.05     0.07     1 
2270652820   -7.24391    -55.10148     0.09     -0.06     0.10     1 
2270652824   -7.24342    -54.98741     0.04     -0.02     0.04     1 
2270652826   -7.24316    -54.93038     0.05     -0.09     0.10     1 
2270652828   -7.24290    -54.87335     0.07     -0.01     0.07     1 
2270652829   -7.24276    -54.84483     0.04     -0.05     0.06     1 
2270652830   -7.24263    -54.81632     0.10     -0.04     0.10     1 
2270652831   -7.24249    -54.78781     0.05      0.00     0.05     1 
2270652832   -7.24235    -54.75929     0.03     -0.04     0.05     1 
2270652834   -7.24207    -54.70227     0.06     -0.07     0.10     1 
2270652835   -7.24192    -54.67376     0.04     -0.06     0.07     1 
2270652836   -7.24177    -54.64525     0.12      0.05     0.13     1 
2270652837   -7.24162    -54.61674     0.07     -0.02     0.07     1 
2270652838   -7.24147    -54.58823    -0.02     -0.05     0.05     1 
2270652839   -7.24132    -54.55972     0.03      0.02     0.03     1 
2270652840   -7.24117    -54.53121     0.00     -0.01     0.01     1 
2270652841   -7.24101    -54.50270     0.03     -0.10     0.10     1 
2270652842   -7.24085    -54.47420    -0.00      0.02     0.02     1 
2270652870   -7.27128    -55.81452     0.10     -0.06     0.12     1 
2270652871   -7.27121    -55.78599    -0.00     -0.04     0.04     1 
2270652880   -7.27045    -55.52923     0.03     -0.03     0.04     1 
2270652884   -7.27006    -55.41513     0.00      0.07     0.07     1 
2270652900   -7.26824    -54.95878     0.12     -0.05     0.13     1 
2270652901   -7.26811    -54.93026     0.01     -0.05     0.06     1 
2270652902   -7.26798    -54.90175     0.04     -0.09     0.10     1 
2270652903   -7.26785    -54.87323    -0.07     -0.01     0.07     1 
2270652904   -7.26771    -54.84471    -0.03     -0.08     0.08     1 
2270652905   -7.26757    -54.81620    -0.03     -0.04     0.05     1 
2270652906   -7.26744    -54.78768     0.02      0.01     0.02     1 
2270652907   -7.26730    -54.75917     0.02     -0.07     0.07     1 
2270652908   -7.26715    -54.73066    -0.03     -0.03     0.04     1 
2270652909   -7.26701    -54.70214     0.02     -0.05     0.06     1 
2270652910   -7.26687    -54.67363     0.04      0.02     0.05     1 
2270652911   -7.26672    -54.64512     0.06     -0.03     0.06     1 
2270652912   -7.26657    -54.61661     0.01     -0.02     0.03     1 
2270652913   -7.26642    -54.58810     0.06     -0.06     0.09     1 
2270652914   -7.26627    -54.55959     0.04     -0.03     0.05     1 
2270652915   -7.26611    -54.53108     0.01     -0.03     0.03     1 
2270652916   -7.26595    -54.50257     0.04     -0.10     0.11     1 
2270652917   -7.26580    -54.47406     0.03     -0.04     0.05     1 
2270652940   -7.29660    -55.95711     0.00     -0.06     0.06     1 
2270652945   -7.29625    -55.81445     0.14     -0.12     0.18     1 
2270652952   -7.29568    -55.61474    -0.11      0.07     0.13     1 
2270652953   -7.29559    -55.58621    -0.02      0.00     0.02     1 
2270652960   -7.29492    -55.38651     0.00     -0.17     0.17     1 
2270652976   -7.29306    -54.93015     0.01     -0.03     0.04     1 
2270652977   -7.29293    -54.90163     0.01     -0.05     0.05     1 
2270652978   -7.29279    -54.87311     0.12     -0.01     0.12     1 
2270652979   -7.29266    -54.84459    -0.12     -0.04     0.13     1 
2270652980   -7.29252    -54.81608     0.02     -0.07     0.07     1 
2270652981   -7.29238    -54.78756     0.04     -0.05     0.06     1 
2270652982   -7.29224    -54.75905    -0.01     -0.06     0.06     1 
2270652984   -7.29196    -54.70202     0.01     -0.01     0.02     1 
2270652986   -7.29166    -54.64499     0.04      0.01     0.04     1 
2270652987   -7.29151    -54.61648     0.08     -0.00     0.08     1 
2270652988   -7.29136    -54.58796     0.00     -0.03     0.03     1 
2270652989   -7.29121    -54.55945     0.04     -0.06     0.07     1 
2270652990   -7.29106    -54.53094     0.04     -0.06     0.07     1 
2270652991   -7.29090    -54.50243     0.01     -0.05     0.05     1 
2270652992   -7.29074    -54.47392    -0.06     -0.08     0.10     1 
2270653012   -7.32175    -56.04266     0.08     -0.02     0.08     1 
2270653020   -7.32121    -55.81438     0.11     -0.05     0.12     1 
2270653025   -7.32081    -55.67172     0.08     -0.01     0.08     1 
2270653026   -7.32072    -55.64319     0.11     -0.05     0.12     1 
2270653027   -7.32064    -55.61466     0.08     -0.05     0.10     1 
2270653028   -7.32055    -55.58613     0.03      0.00     0.03     1 
